"topic","term","beta"
1,"coronavirus",0.0991295916205258
2,"coronavirus",0.0771666781450543
3,"coronavirus",0.0966156369770234
4,"coronavirus",0.0766144273889127
1,"mutat",0.00126056616394376
2,"mutat",6.126431951281e-10
3,"mutat",3.02247759471605e-164
4,"mutat",1.15502974089168e-164
1,"rapid",4.40613370145382e-07
2,"rapid",0.000628273846867653
3,"rapid",2.52859489678233e-159
4,"rapid",0.000559678934046309
1,"true",1.31494621292622e-29
2,"true",0.00314356681339094
3,"true",7.9453937743872e-179
4,"true",1.20855754313228e-179
1,"wors",0.00222469870580269
2,"wors",0.000924409798343873
3,"wors",4.27506253133833e-14
4,"wors",1.3872260767626e-36
1,"border",2.71221195845069e-12
2,"border",1.18153582975613e-50
3,"border",0.00793585984324127
4,"border",0.00111935786573241
1,"curb",2.52321508926774e-172
2,"curb",3.07427231646661e-174
3,"curb",0.00198396496082613
4,"curb",0.000559678934044247
1,"enjoytheshow",5.4137192849417e-176
2,"enjoytheshow",1.7277401950552e-176
3,"enjoytheshow",0.000661321653608469
4,"enjoytheshow",8.70422893450023e-178
1,"secur",0.000630283389057696
2,"secur",1.31451081185257e-167
3,"secur",0.00198396496082658
4,"secur",0.000559678934044513
1,"spread",0.00530629962673602
2,"spread",0.00498611029614957
3,"spread",0.00881401393058416
4,"spread",0.00689667409496234
1,"thesepeoplearestupid",9.65341544925227e-177
2,"thesepeoplearestupid",1.96138837659533e-178
3,"thesepeoplearestupid",0.000661321653608469
4,"thesepeoplearestupid",4.8062677332876e-179
1,"warren",6.90963019973679e-186
2,"warren",3.94701304112859e-187
3,"warren",0.00198396496082541
4,"warren",7.29699465466947e-188
1,"can",0.000630283389058423
2,"can",2.21963836865188e-186
3,"can",7.72734330284753e-184
4,"can",7.4234748600353e-184
1,"electr",0.000630283389058393
2,"electr",9.53722448448132e-174
3,"electr",0.000661321653608501
4,"electr",1.78679192085114e-175
1,"folk",0.000630283389058484
2,"folk",0.00125742672535796
3,"folk",0.000661321653460083
4,"folk",1.24117537366327e-13
1,"gas",0.000630283389058423
2,"gas",1.16437673856723e-186
3,"gas",1.20341279681544e-183
4,"gas",1.07332662603734e-183
1,"helicopt",0.000630283389058423
2,"helicopt",2.88002461018235e-186
3,"helicopt",1.92128498202226e-183
4,"helicopt",3.95033713114995e-183
1,"kind",0.00126056677811685
2,"kind",2.84891385501167e-90
3,"kind",3.67932285902888e-176
4,"kind",8.18285998352409e-180
1,"mean",0.000630283389057312
2,"mean",5.06516597366842e-30
3,"mean",0.000661321653607576
4,"mean",0.00279839467022606
1,"scooter",0.000630283389058423
2,"scooter",1.86976523929092e-186
3,"scooter",3.25221104216094e-183
4,"scooter",2.34067632847251e-183
1,"spray",0.000630283389058423
2,"spray",8.14558336075817e-187
3,"spray",1.15717437850493e-183
4,"spray",7.53211137523468e-184
1,"steril",0.000630283389058423
2,"steril",8.61459438468901e-186
3,"steril",1.17612872129117e-182
4,"steril",3.73812140450742e-183
1,"surround",0.000630283389058423
2,"surround",3.23679760651888e-185
3,"surround",4.3519199180159e-183
4,"surround",6.07557958337505e-183
1,"thursdaythought",0.000630283389058423
2,"thursdaythought",1.49506345417953e-186
3,"thursdaythought",4.04717298563076e-183
4,"thursdaythought",4.29117357681815e-183
1,"torch",0.000630283389058423
2,"torch",3.19381024469309e-186
3,"torch",1.1176392556671e-183
4,"torch",6.5890078294463e-184
1,"tractor",0.000630283389058423
2,"tractor",3.13494513501413e-186
3,"tractor",1.25927318091814e-184
4,"tractor",1.59919367660431e-184
1,"uav",0.000630283389058423
2,"uav",2.85798919996142e-186
3,"uav",2.98984996879597e-184
4,"uav",1.09785141936907e-183
1,"wide",0.000630283389058423
2,"wide",1.80131772698488e-186
3,"wide",1.48715097174879e-183
4,"wide",4.84807357703866e-184
1,"covid19",0.00981577716587041
2,"covid19",0.0048907483485301
3,"covid19",0.0185219397904252
4,"covid19",0.0233050124399689
1,"updat",0.00208384047159997
2,"updat",0.0050297069014301
3,"updat",0.00508807912732425
4,"updat",1.78528395517505e-12
1,"answer",7.79340153807757e-179
2,"answer",6.67241563857139e-179
3,"answer",0.00132264330721694
4,"answer",5.04501203986479e-180
1,"blood",2.98033729258426e-176
2,"blood",3.23932694724458e-174
3,"blood",0.000661321653608469
4,"blood",5.17619512921696e-177
1,"donat",2.28306895484119e-176
2,"donat",8.81638944599978e-174
3,"donat",0.000661321653608469
4,"donat",1.22387744196079e-176
1,"month",6.25202656207927e-22
2,"month",0.00188614008803344
3,"month",0.00198396496082664
4,"month",0.00223871573617941
1,"movement",1.95605241557461e-179
2,"movement",2.35198925243525e-165
3,"movement",0.00198396496082541
4,"movement",3.29121301872509e-181
1,"question",6.80849275136878e-30
2,"question",0.00251485345071438
3,"question",0.000661321653606756
4,"question",5.64198775084206e-170
1,"travel",0.00715218372537541
2,"travel",0.00103299111287731
3,"travel",0.00727609661202923
4,"travel",0.00727977263459772
1,"wait",1.3683884791836e-07
2,"wait",2.49136177047694e-14
3,"wait",0.000661321653608124
4,"wait",0.00223859422602122
1,"week",0.000630283389057035
2,"week",4.36133521757234e-157
3,"week",0.00396792992165366
4,"week",0.00111935786808855
1,"bloodi",0.000630283389058423
2,"bloodi",5.3667709618142e-189
3,"bloodi",5.28425515524449e-187
4,"bloodi",1.56783210204114e-190
1,"bring",0.00355215552005699
2,"bring",1.09487017891168e-11
3,"bring",0.00156349202946225
4,"bring",4.53224930355298e-121
1,"carri",0.00126056677811716
2,"carri",2.54869017143723e-177
3,"carri",0.000661321653608143
4,"carri",2.75906281893318e-176
1,"china",0.0273331398404109
2,"china",6.96481334719523e-07
3,"china",0.00629070587342106
4,"china",0.00230595509251092
1,"chines",0.00437600834018386
2,"chines",0.00188614008803371
3,"chines",2.24519065752286e-23
4,"chines",0.00171098221666603
1,"communist",0.000630283389058423
2,"communist",4.340655522179e-189
3,"communist",2.37572961332426e-187
4,"communist",6.43556345127472e-191
1,"evil",0.000630283389058322
2,"evil",0.000628713362678268
3,"evil",0.00066132165360849
4,"evil",1.09828962304641e-172
1,"life",0.00378170031230464
2,"life",0.000741486201710451
3,"life",2.50231948974643e-11
4,"life",0.00101896779036585
1,"minist",0.00252113355623445
2,"minist",0.000628713362677291
3,"minist",2.73303971711668e-170
4,"minist",1.23880946086597e-16
1,"money",0.0025211335562345
2,"money",1.01786703139419e-174
3,"money",0.00132264330721609
4,"money",3.98169851523859e-176
1,"possibl",0.000630283389057998
2,"possibl",6.71869971870642e-124
3,"possibl",1.84408225147777e-172
4,"possibl",0.00167903680213497
1,"prime",0.00126056677811682
2,"prime",0.0012574267253564
3,"prime",7.05346924222591e-174
4,"prime",7.1773434343087e-177
1,"scottmorrisonmp",0.00126056677811684
2,"scottmorrisonmp",5.61762004654994e-154
3,"scottmorrisonmp",5.42610430251329e-18
4,"scottmorrisonmp",6.25697556047615e-181
1,"student",0.00126056677811685
2,"student",5.64457647044001e-183
3,"student",6.51634701603391e-184
4,"student",1.11511361112903e-185
1,"sure",0.00189085016717527
2,"sure",3.40007625398108e-185
3,"sure",1.23826185997272e-180
4,"sure",1.49434393722798e-186
1,"virus",0.0145168867405523
2,"virus",0.00321562791376853
3,"virus",0.00704050869166098
4,"virus",0.00627229262147075
1,"amunmarri",9.67088327463371e-176
2,"amunmarri",2.85283138678121e-177
3,"amunmarri",3.7981623102275e-176
4,"amunmarri",0.000559678934044863
1,"arewa",1.45141594442441e-173
2,"arewa",1.55466648775087e-176
3,"arewa",3.53443803934571e-177
4,"arewa",0.000559678934044863
1,"debruyn",3.48441859497933e-174
2,"debruyn",5.1722728834152e-177
3,"debruyn",1.69736070340512e-176
4,"debruyn",0.000559678934044863
1,"hauli",1.77232554229417e-172
2,"hauli",2.28539903275001e-175
3,"hauli",1.21011812083175e-174
4,"hauli",0.000559678934044863
1,"heaven",1.65049635338217e-175
2,"heaven",1.75426270404202e-177
3,"heaven",5.35263234114952e-177
4,"heaven",0.000559678934044863
1,"iamnotokaywiththi",1.26522435747232e-43
2,"iamnotokaywiththi",4.45075043677846e-14
3,"iamnotokaywiththi",2.83734462769294e-159
4,"iamnotokaywiththi",0.00223871573613983
1,"manciti",1.36309152024961e-175
2,"manciti",4.22407899091866e-177
3,"manciti",2.64088592681684e-176
4,"manciti",0.000559678934044863
1,"mc",2.10377479825173e-174
2,"mc",9.0440386290079e-177
3,"mc",9.96150172387062e-177
4,"mc",0.000559678934044863
1,"realmadridmanc",2.54621681306668e-174
2,"realmadridmanc",1.04840718647032e-176
3,"realmadridmanc",6.88987327812136e-176
4,"realmadridmanc",0.000559678934044863
1,"cdc",0.00126056677811626
2,"cdc",0.00269220450973038
3,"cdc",6.68979161852024e-165
4,"cdc",0.00264051723743116
1,"congratul",0.000630283389058423
2,"congratul",6.52243384857622e-165
3,"congratul",2.00097395410567e-183
4,"congratul",9.95102054320191e-185
1,"dead",0.00188802298619094
2,"dead",2.82013851917704e-06
3,"dead",0.00132264330721707
4,"dead",1.22290933412418e-166
1,"deliv",0.000630283389058584
2,"deliv",0.000628713362678028
3,"deliv",1.58961644098965e-174
4,"deliv",1.67459690556146e-174
1,"fast",0.000630283389058381
2,"fast",0.00062871336267823
3,"fast",4.08079569468713e-176
4,"fast",7.09110545594948e-178
1,"grace",0.000630283389058423
2,"grace",1.93980749275664e-165
3,"grace",4.72663210618078e-184
4,"grace",7.99528411902934e-185
1,"low",0.00252060901021463
2,"low",1.29215417712654e-10
3,"low",1.02059651216095e-57
4,"low",4.65671255432989e-07
1,"messag",0.000630283389058423
2,"messag",2.52206259184677e-166
3,"messag",6.33410002721451e-184
4,"messag",2.79126449842129e-185
1,"offici",0.0019965915328389
2,"offici",1.75941662304922e-140
3,"offici",0.00132264330721555
4,"offici",0.00214481953671473
1,"outbreak",0.00853697367135604
2,"outbreak",0.00504868188539234
3,"outbreak",0.0049823290880479
4,"outbreak",0.00273753708324439
1,"podium",0.000630283389058423
2,"podium",1.11544281848318e-165
3,"podium",2.10365384327249e-184
4,"podium",3.78460685050186e-185
1,"protect",0.000630283389057396
2,"protect",0.00309905380602128
3,"protect",4.50283784124186e-164
4,"protect",0.000599304292746058
1,"rank",0.000630283389058423
2,"rank",1.96736310471065e-165
3,"rank",9.06284970316045e-184
4,"rank",2.04979123017939e-186
1,"risk",0.00335175371249498
2,"risk",0.00125742672535568
3,"risk",0.00132264330721728
4,"risk",0.00206082072852998
1,"slight",0.000630283389058423
2,"slight",1.56458883901092e-166
3,"slight",5.43363917052575e-183
4,"slight",4.78333148482665e-185
1,"subtl",0.000630283389058423
2,"subtl",1.87309895629621e-165
3,"subtl",1.11468623351984e-184
4,"subtl",5.13003107092828e-185
1,"trump",0.0163710456087911
2,"trump",0.00671154131392369
3,"trump",0.00287432372856063
4,"trump",2.53146883247043e-06
1,"effort",1.35917903480097e-169
2,"effort",0.00251485345071275
3,"effort",1.85909766515599e-169
4,"effort",3.10536707315172e-20
1,"mask",0.000958942348104641
2,"mask",0.00914174650550133
3,"mask",0.00529057322886989
4,"mask",0.00556217282591609
1,"time",4.19773555981236e-39
2,"time",0.00230265741410654
3,"time",9.07648764835999e-39
4,"time",0.00690504354608463
1,"wast",1.49183750429537e-157
2,"wast",3.41462592950615e-07
3,"wast",4.34231405193477e-159
4,"wast",0.000559374964968678
1,"bahama",0.000630283389058423
2,"bahama",5.00464566445197e-187
3,"bahama",6.85707681244458e-186
4,"bahama",2.19564924909044e-188
1,"catch",0.00126056677811685
2,"catch",9.49253760182172e-182
3,"catch",1.84314032451647e-181
4,"catch",5.4876617159667e-182
1,"coupl",0.000630283389058166
2,"coupl",2.6406908161248e-173
3,"coupl",4.78125396712131e-171
4,"coupl",0.00167903680213482
1,"cruis",0.000630283389058383
2,"cruis",0.000628713362678216
3,"cruis",1.26134307890405e-172
4,"cruis",0.000559678934044874
1,"fli",0.000630283389058423
2,"fli",5.89083764405907e-187
3,"fli",5.0872242137719e-185
4,"fli",2.56253128710807e-188
1,"god",0.00126056677811683
2,"god",0.00125742672535639
3,"god",2.35466921779315e-167
4,"god",1.61488115800881e-174
1,"gonna",0.00189085016717588
2,"gonna",1.52721672207224e-171
3,"gonna",0.000661321653607834
4,"gonna",3.5329592158227e-161
1,"goodby",0.000630283389058423
